orden,DELITO,ART. CP,TIPO DE PENA,AÑOS PENA,VALORACIÓN ASIGNADA
332,"Delitos contra la seguridad pública - Incendio, explosión e inundación - Destrucción a bienes rurales",art. 186 inc. 2,Reclusión o Prisión,3a - 10a,500
374,Delitos contra la seguridad de la Nación - Infidelidad diplomática,225,Reclusión o Prisión,3a - 10a,500
413,"Delitos previstos por Leyes Especiales y Decretos Ley - Ley Nº 25.086, de Armas",189 bis,Reclusión o Prisión,5a - 15a,500
418,"Delitos contra la propiedad - Robo calificado - Robo con arma, en poblado y en banda",167,Reclusión o Prisión,3a - 10a,500
436,Delitos contra la integridad sexual - Abuso sexual agravado,119,Reclusión o Prisión,4a - 10a,500
438,Delitos previstos por Leyes de Estupefacientes - Ley Nº 22.415 Contrabando de estupefacientes,Cod.Adua 866,Reclusión o Prisión,3a - 12a,500
442,Delitos contra las personas (dolosos) - Aborto - Aborto sin consentimiento,85 inc 1,Prisión,3a - 10a,500
557,Delitos contra el orden económico y financiero - Financiación del terrorismo,306,Prisión,5a - 15a,500
583,Delitos contra la integridad sexual - Abuso sexual con sometimiento  sexual gravemente ultrajante para la víctima,art. 119,Reclusión o Prisión,4a - 10a,500
29,Delitos contra las personas (dolosos) - Lesiones graves,90,Reclusión o Prisión,1a - 6a,450
30,Delitos contra las personas (dolosos) - Lesiones graves calificadas,92,Reclusión o Prisión,3a - 10a,450
31,Delitos contra las personas (dolosos) - Lesiones gravísimas,91,Reclusión o Prisión,3a - 10a,450
35,Delitos contra las personas (dolosos) - Homicidio en riña,95,Reclusión o Prisión,2a - 6a,450
36,Delitos contra las personas (dolosos) - Homicidio en riña calificado,95,Reclusión o Prisión,2a - 6a,450
45,Delitos contra las personas (dolosos) - Abandono de persona calificado,106,Reclusión o Prisión,3a - 10a,450
54,Delitos contra la integridad sexual - Estupro,120,Reclusión o Prisión,3a - 6a,450
58,Delitos contra la integridad sexual - Promoción o facilitación de la corrupción de menores calificada,125,Reclusión o Prisión,6a - 15a,450
62,Delitos contra la integridad sexual - Proxenetismo agravado,127,Prisión,5a - 10a,450
68,Delitos contra la integridad sexual - Rapto calificado,130,Prisión,2a - 6a,450
70,Delitos contra el estado civil - Matrimonio ilegal unilateral,135,Prisión,2a - 6a,450
72,Delitos contra el estado civil - Suposición de parto,139,Prisión,2a - 6a,450
76,Delitos contra la libertad - Privación ilegal de la libertad calificada,142,Reclusión o Prisión,2a - 6a,450
93,Delitos contra la propiedad - Hurto calificado,163,Prisión,1a - 6a,450
99,Delitos contra la propiedad - Defraudaciones menores,172,Prisión,1m - 6m,450
102,Delitos contra la propiedad - Quiebra fraudulenta,176,Prisión,2a - 6a,450
109,"Delitos contra la seguridad pública - Incendio, explosión e inundación",186 incs. 1° y 2°,Reclusión o Prisión,3a - 10a,450
126,Delitos contra el orden público - Instigación pública a cometer delitos determinados,209,Prisión,2a - 6a,450
130,Delitos contra el orden público - Intimidación pública,211,Prisión,2a - 6a,450
140,Delitos contra los poderes públicos y el orden constitucional - Sedición,229,Prisión,1a - 6a,450
147,Delitos contra la administración pública - Inducir a engaño a una autoridad judicial,172,Prisión,1m - 6m,450
166,Delitos contra la administración pública - Cohecho,256,Reclusión o Prisión,1a - 6a,450
170,Delitos contra la administración pública - Peculado,261,Reclusión o Prisión,2a - 10a,450
172,Delitos contra la administración pública - Negociaciones incompatibles con el ejercicio de funciones públicas,265,Reclusión o Prisión,1a - 6a,450
175,Delitos contra la administración pública - Enriquecimiento ilícito de funcionarios y empleados,268 (1),Reclusión o Prisión,1a - 6a,450
179,Delitos contra la administración pública - Falso testimonio calificado,"275, 2do. párr.",Reclusión o Prisión,1a - 10a,450
181,Delitos contra la administración pública - Encubrimiento calificado,"277, inc. 3",Prisión,1a - 6a,450
194,Delitos contra la fé pública - Falsificación o adulteración de documentos calificada,"292, 2do. párr.",Reclusión o Prisión,3a - 8a,450
196,Delitos contra la fé pública - Falsedad ideológica en documentos calificada,"292, 2do. párr.",Reclusión o Prisión,3a - 8a,450
198,Delitos contra la fé pública - Falsedad en certificado médico calificada,"295, 2do. párr.",Prisión,1a - 4a,450
201,Delitos contra la fé pública - Pago con cheque sin provisión de fondos,302,Prisión,6m - 4a,450
202,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 11.723 Propiedad intelectual,71,Prisión,1m - 6a,450
207,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 19.359 Régimen cambiario,2,Prisión y Multa,1a - 8a,450
209,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 22.415 Represión contrabando-Encubrimiento,863,Prisión,2a - 8a,450
214,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 24.721 Hurto de automóvil dejado en vía pública,1,Prisión,1a - 6a,450
215,Delitos previstos por Leyes Especiales y Decretos Ley - Ley N° 27430 Régimen penal tributario,279,Prisión,2a - 6a (evasión simple); 3a y 6m - 9a (evasión agravada),450
241,Delitos contra las personas (dolosos) - Aborto cometido por profesional,85,Prisión,3a - 10a,450
250,"Delitos contra las personas (dolosos) - Abandono ""honoris causa""",106,Reclusión o Prisión,2a - 6a,450
269,"Delitos contra la libertad - Privación abusiva de libertad, vejaciones, severidades y apremios ilegales",144 bis inc 3,Prisión,1a - 5a,450
272,Delitos contra la libertad - Omisión de evitar o denunciar torturas,144 quater,Prisión,3a - 10a,450
289,Delitos contra la propiedad - Robo agravado - Robo en despoblado,167 inc 1,Prisión,3a - 10a,450
290,Delitos contra la propiedad - Robo agravado - Robo en poblado y en banda,167 inc 2,Prisión,3a - 10a,450
291,Delitos contra la propiedad - Robo agravado - Robo por efracción,167 inc 3,Prisión,3a - 10a,450
292,Delitos contra la propiedad - Robo agravado - Robo agravado por las circunstancias del hurto calificado,167 inc 4,Prisión,3a - 10a,450
293,Delitos contra la propiedad - Chantaje o extorsión mediante amenazas de imputaciones contra el honor,169,Reclusión o Prisión,3a - 8a,450
294,Delitos contra la propiedad - Sustracción de cadáveres,171,Prisión,2a - 6a,450
295,Delitos contra la propiedad - Defraudaciones,172,Prisión,1m - 6a,450
296,"Delitos contra la propiedad - Defraudaciones - Defraudación en la sustancia, calidad o cantidad de cosas",172 inc 1,Prisión,1m - 6a,450
297,Delitos contra la propiedad - Defraudaciones - Depositario infiel,173 inc 2,Prisión,1m - 6a,450
298,Delitos contra la propiedad - Defraudaciones - Suscripción engañosa de documento,173 inc 3,Prisión,1m - 6a,450
